RANK,FULL NAME,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,Franchise
237,Justise Winslow,F-G,25.32,1,2.8,5.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,19.7,1.0,38.8,0.0,0.0,0.0,0.0,,,2020-2021,Memphis Grizzlies
2,Steven Adams,C,28.73,76,26.3,54.8,12.0,19.6,199.0,0.543,383.0,0.548,1.0,0.0,0.547,0.56,6.9,10.0,19.9,3.4,16.1,0.87,0.79,1.51,9.4,124.7,103.9,2021-2022,Memphis Grizzlies
4,Santi Aldama,F-C,21.25,32,11.2,23.4,18.5,9.9,32.0,0.625,84.0,0.56,48.0,0.125,0.424,0.452,4.1,2.7,12.6,0.7,7.7,0.19,0.31,0.5,7.1,101.1,103.9,2021-2022,Memphis Grizzlies
13,Kyle Anderson,F-G,28.56,69,21.5,44.8,16.2,12.1,105.0,0.638,360.0,0.481,109.0,0.33,0.484,0.506,7.6,5.3,12.9,2.7,16.2,1.12,0.67,1.03,8.9,109.3,103.3,2021-2022,Memphis Grizzlies
32,Desmond Bane,G,23.8,76,29.8,62.1,23.1,8.7,155.0,0.903,578.0,0.484,523.0,0.436,0.565,0.592,18.2,4.4,7.7,2.7,13.5,1.21,0.38,1.46,8.1,118.4,104.6,2021-2022,Memphis Grizzlies
78,Dillon Brooks,G-F,26.22,32,27.7,57.6,28.8,8.0,106.0,0.849,377.0,0.48,149.0,0.309,0.475,0.515,18.4,3.2,6.0,2.8,15.4,1.13,0.25,1.56,7.9,107.5,102.3,2021-2022,Memphis Grizzlies
92,Shaq Buchanan,G,20.0,2,4.9,10.2,25.1,33.3,0.0,0.0,2.0,0.5,2.0,0.0,0.25,0.25,1.0,1.0,10.6,1.0,25.5,0.5,0.0,1.0,8.2,61.1,99.8,2021-2022,Memphis Grizzlies
118,Brandon Clarke,F,25.56,64,19.5,40.6,17.7,6.3,130.0,0.654,425.0,0.666,22.0,0.227,0.65,0.66,10.4,5.3,14.3,1.3,10.3,0.59,1.06,0.53,8.5,137.4,102.8,2021-2022,Memphis Grizzlies
138,Jarrett Culver,G-F,23.14,37,9.1,19.0,20.6,11.8,34.0,0.471,88.0,0.443,47.0,0.255,0.422,0.433,3.5,1.3,7.4,0.9,13.0,0.54,0.14,0.54,7.0,92.9,100.0,2021-2022,Memphis Grizzlies
316,Jaren Jackson Jr.,F-C,22.57,78,27.3,56.8,25.4,9.9,345.0,0.823,635.0,0.476,401.0,0.319,0.477,0.535,16.3,5.8,11.1,1.1,5.8,0.92,2.28,1.67,6.9,108.3,99.5,2021-2022,Memphis Grizzlies
326,DaQuan Jeffries,G-F,24.61,3,2.9,6.1,9.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.7,0.7,11.9,0.3,14.4,0.0,0.0,0.0,7.3,,,2021-2022,Memphis Grizzlies
354,Tyus Jones,G,25.92,73,21.2,44.2,16.6,7.3,66.0,0.818,347.0,0.487,205.0,0.39,0.524,0.544,8.7,2.4,5.9,4.4,28.1,0.9,0.03,0.63,8.5,124.9,112.3,2021-2022,Memphis Grizzlies
372,John Konchar,G,26.05,72,17.9,37.4,9.9,9.3,49.0,0.551,136.0,0.61,126.0,0.413,0.615,0.615,4.8,4.6,13.3,1.5,10.6,0.64,0.31,0.4,7.2,133.0,105.0,2021-2022,Memphis Grizzlies
423,Dakota Mathias,G,26.75,6,2.7,5.6,15.2,0.0,0.0,0.0,0.0,0.0,6.0,0.333,0.5,0.5,1.0,0.3,6.4,0.2,7.9,0.17,0.0,0.0,5.8,,,2021-2022,Memphis Grizzlies
424,Dakota Mathias,G,26.75,6,2.7,5.6,15.2,0.0,0.0,0.0,0.0,0.0,6.0,0.333,0.5,0.5,1.0,0.3,6.4,0.2,7.9,0.17,0.0,0.0,5.8,,,2021-2022,Memphis Grizzlies
444,De'Anthony Melton,G,23.87,73,22.7,47.3,21.3,13.0,120.0,0.75,323.0,0.44,372.0,0.374,0.504,0.529,10.8,4.5,10.3,2.7,16.1,1.41,0.53,1.53,9.0,107.3,103.3,2021-2022,Memphis Grizzlies
445,Sam Merrill,G,25.9,6,9.6,20.1,19.7,7.2,4.0,0.5,1.0,1.0,23.0,0.304,0.479,0.485,4.2,1.2,6.3,0.7,9.1,0.0,0.0,0.33,6.3,103.3,111.5,2021-2022,Memphis Grizzlies
464,Ja Morant,G,22.67,57,33.1,69.0,33.7,12.6,415.0,0.761,920.0,0.535,256.0,0.344,0.531,0.576,27.4,5.7,9.0,6.7,34.1,1.16,0.39,3.44,12.3,115.2,109.2,2021-2022,Memphis Grizzlies
528,Yves Pons,F,22.93,12,5.9,12.3,10.3,5.6,2.0,0.0,7.0,0.286,9.0,0.333,0.406,0.385,1.1,1.0,8.8,0.1,1.7,0.08,0.33,0.08,3.2,94.6,107.1,2021-2022,Memphis Grizzlies
607,Xavier Sneed,F,20.0,2,3.9,8.0,10.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,Memphis Grizzlies
628,Tyrell Terry,G,21.53,2,1.6,3.2,13.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,Memphis Grizzlies
629,Jon Teske,C,20.0,3,2.6,5.4,9.9,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,13.4,0.3,14.2,0.33,0.0,0.0,0.0,,,2021-2022,Memphis Grizzlies
644,Killian Tillie,F-C,24.1,36,12.8,26.7,12.8,9.1,8.0,0.625,41.0,0.39,86.0,0.314,0.445,0.452,3.3,1.7,6.8,0.6,5.9,0.64,0.42,0.36,4.7,100.8,100.9,2021-2022,Memphis Grizzlies
645,Xavier Tillman,F,23.24,53,13.2,27.5,16.4,12.1,71.0,0.648,167.0,0.527,49.0,0.204,0.477,0.51,4.8,3.0,12.0,1.2,11.6,0.94,0.28,0.64,7.8,111.3,102.1,2021-2022,Memphis Grizzlies
698,Ziaire Williams,F,20.58,62,21.7,45.2,14.9,8.4,55.0,0.782,182.0,0.632,242.0,0.314,0.54,0.559,8.1,2.1,5.0,1.0,6.3,0.58,0.18,0.66,4.7,112.9,107.1,2021-2022,Memphis Grizzlies
13,Ja Morant,G,23.8,5,37.4,30.1,13.8,26.0,0.769,75.0,0.427,31.0,0.419,0.486,0.524,24.6,6.8,7.0,1.8,0.2,3.4,31.4,31.6,38.4,11.3,107.3,107.7,2022-2023,Memphis Grizzlies
18,Desmond Bane,G,25.0,6,38.6,26.4,12.7,29.0,0.931,66.0,0.5,50.0,0.32,0.491,0.548,23.5,6.0,3.2,0.5,0.0,2.8,29.5,26.7,32.7,7.9,106.6,108.2,2022-2023,Memphis Grizzlies
35,Jaren Jackson Jr.,F-C,23.7,6,36.7,22.2,17.8,36.0,0.861,58.0,0.483,25.0,0.28,0.464,0.546,18.0,7.8,1.5,1.0,2.0,3.0,25.8,19.5,27.3,6.5,106.1,104.5,2022-2023,Memphis Grizzlies
69,Dillon Brooks,G-F,27.4,6,27.9,21.8,8.3,7.0,0.714,35.0,0.4,42.0,0.238,0.377,0.393,10.5,3.0,1.8,0.2,0.0,1.2,13.5,12.3,15.3,5.5,84.8,105.7,2022-2023,Memphis Grizzlies
86,Xavier Tillman,F,24.4,6,30.6,11.7,8.1,5.0,0.6,41.0,0.561,4.0,0.25,0.544,0.551,8.7,8.0,3.2,0.7,0.7,0.7,16.7,11.8,19.8,7.9,128.3,105.2,2022-2023,Memphis Grizzlies
99,Luke Kennard,G,27.0,5,21.3,10.1,4.1,4.0,1.0,7.0,0.571,16.0,0.5,0.696,0.727,7.2,4.0,1.4,0.8,0.0,0.2,11.2,8.6,12.6,6.4,153.9,107.1,2022-2023,Memphis Grizzlies
107,Santi Aldama,F-C,22.4,6,16.8,14.9,5.6,2.0,1.0,18.0,0.444,15.0,0.467,0.561,0.576,6.5,4.3,1.2,0.5,0.0,0.3,10.8,7.7,12.0,7.7,125.5,108.9,2022-2023,Memphis Grizzlies
128,Tyus Jones,G,27.1,6,20.1,15.8,18.1,3.0,0.667,17.0,0.471,19.0,0.158,0.347,0.362,4.5,3.0,3.7,1.3,0.0,1.3,7.5,8.2,11.2,7.3,87.8,109.6,2022-2023,Memphis Grizzlies
135,David Roddy,F,22.2,6,12.6,16.8,3.3,1.0,1.0,9.0,0.222,20.0,0.3,0.379,0.391,3.8,2.8,0.7,0.0,0.3,0.2,6.7,4.5,7.3,6.2,94.9,107.8,2022-2023,Memphis Grizzlies
167,Kenneth Lofton Jr.,F,20.8,4,3.0,31.2,0.0,2.0,0.5,6.0,0.5,2.0,0.0,0.375,0.394,1.8,0.8,0.3,0.0,0.0,0.0,2.5,2.0,2.8,10.1,,,2022-2023,Memphis Grizzlies
174,Ziaire Williams,F,21.8,4,3.0,31.4,22.2,0.0,0.0,4.0,0.25,3.0,0.333,0.357,0.357,1.3,0.5,0.5,0.0,0.0,0.5,1.8,1.8,2.3,9.2,,,2022-2023,Memphis Grizzlies
182,John Konchar,G,27.2,5,9.7,8.6,10.0,0.0,0.0,5.0,0.4,4.0,0.0,0.222,0.222,0.8,2.0,0.8,0.4,0.4,0.2,2.8,1.6,3.6,4.5,85.5,102.1,2022-2023,Memphis Grizzlies
123,RJ Barrett,F-G,21.1,5,32.3,67.4,20.7,2.6,15.0,0.8,39.0,0.462,28.0,0.286,0.448,0.489,14.4,7.2,11.8,3.0,16.7,0.8,0.4,0.4,8.4,111.1,103.5,2020-2021,New York Knicks
126,Reggie Bullock,G-F,30.35,5,32.5,67.7,12.3,8.8,5.0,0.8,10.0,0.5,29.0,0.345,0.513,0.534,8.8,3.4,5.5,1.2,5.9,0.6,0.2,0.8,4.1,109.9,107.6,2020-2021,New York Knicks
127,Alec Burks,G,30.0,5,25.6,53.3,23.7,5.9,19.0,0.737,32.0,0.5,24.0,0.333,0.5,0.544,14.0,5.0,10.3,2.6,19.2,0.2,0.0,0.8,8.9,116.9,103.8,2020-2021,New York Knicks
135,Taj Gibson,F,36.07,5,27.6,57.5,7.5,12.8,1.0,1.0,20.0,0.6,0.0,0.0,0.6,0.612,5.0,7.0,13.4,0.8,4.6,1.6,1.0,0.6,4.4,135.2,99.9,2020-2021,New York Knicks
150,Nerlens Noel,C-F,27.28,5,18.4,38.4,10.1,19.0,16.0,0.813,10.0,0.5,0.0,0.0,0.5,0.675,4.6,4.0,11.5,0.2,1.6,0.8,0.6,0.8,3.4,132.5,93.9,2020-2021,New York Knicks
153,Immanuel Quickley,G,22.09,5,15.4,32.2,24.2,14.3,7.0,0.714,22.0,0.273,11.0,0.364,0.364,0.402,5.8,1.4,4.8,1.0,11.0,0.6,0.0,1.2,5.2,78.1,101.6,2020-2021,New York Knicks
154,Julius Randle,F-C,26.64,5,36.1,75.1,31.7,17.8,27.0,0.852,61.0,0.279,33.0,0.333,0.356,0.425,18.0,11.6,17.0,4.0,19.8,0.6,0.0,4.6,10.4,85.3,98.5,2020-2021,New York Knicks
155,Derrick Rose,G,32.79,5,35.0,72.9,24.3,8.3,9.0,1.0,67.0,0.478,17.0,0.471,0.524,0.551,19.4,4.0,6.1,5.0,29.3,0.4,0.2,1.6,8.3,114.9,112.1,2020-2021,New York Knicks
161,Obi Toppin,F,23.38,5,13.1,27.2,19.5,10.5,6.0,0.833,14.0,0.643,9.0,0.333,0.587,0.624,6.4,2.6,10.5,0.4,5.7,0.0,0.2,0.6,5.7,119.8,104.1,2020-2021,New York Knicks
201,Frank Ntilikina,G,22.98,3,1.2,2.4,12.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-2021,New York Knicks
226,Elfrid Payton,G,27.41,2,6.6,13.6,19.9,0.0,2.0,0.5,5.0,0.0,0.0,0.0,0.0,0.085,0.5,0.0,0.0,0.5,10.7,0.5,0.0,0.0,0.0,31.4,105.0,2020-2021,New York Knicks
233,Kevin Knox II,F,21.94,1,3.5,7.3,11.2,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,1.136,2.0,1.0,15.1,1.0,39.9,0.0,1.0,0.0,14.4,,,2020-2021,New York Knicks
19,Ryan Arcidiacono,G,28.04,10,7.6,15.9,8.6,20.0,0.0,0.0,3.0,0.667,9.0,0.444,0.667,0.667,1.6,0.8,5.6,0.4,7.5,0.1,0.0,0.3,4.2,111.0,108.9,2021-2022,New York Knicks
37,RJ Barrett,F-G,21.82,70,34.5,71.9,27.6,9.9,406.0,0.714,790.0,0.442,404.0,0.342,0.466,0.511,20.0,5.8,9.0,3.0,14.9,0.61,0.23,2.16,8.2,103.4,108.3,2021-2022,New York Knicks
95,Alec Burks,G,30.73,81,28.6,59.6,17.7,9.7,264.0,0.822,339.0,0.378,389.0,0.404,0.499,0.559,11.7,4.9,9.1,3.0,15.7,1.05,0.32,1.12,7.8,116.8,102.9,2021-2022,New York Knicks
163,Damyean Dotson,G,27.93,2,10.3,21.5,8.5,0.0,0.0,0.0,3.0,0.667,1.0,0.0,0.5,0.5,2.0,1.0,5.2,0.5,7.1,0.0,0.0,0.0,3.9,113.5,117.4,2021-2022,New York Knicks
203,Evan Fournier,G-F,29.45,80,29.5,61.4,20.8,9.4,113.0,0.708,346.0,0.465,619.0,0.389,0.541,0.554,14.1,2.6,4.7,2.1,11.9,0.99,0.25,1.31,5.8,108.8,107.2,2021-2022,New York Knicks
223,Taj Gibson,F,36.8,52,18.2,37.9,10.0,12.5,52.0,0.808,128.0,0.555,38.0,0.395,0.563,0.606,4.4,4.4,12.9,0.6,4.9,0.42,0.77,0.52,5.0,127.9,97.9,2021-2022,New York Knicks
244,Quentin Grimes,G,21.92,46,17.1,35.6,15.1,10.3,19.0,0.684,46.0,0.5,189.0,0.381,0.557,0.565,6.0,2.0,6.4,1.0,8.5,0.67,0.24,0.61,5.4,111.8,104.6,2021-2022,New York Knicks
249,Tyler Hall,G,25.05,1,1.9,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,New York Knicks
297,Danuel House Jr.,F-G,28.84,1,3.4,7.1,12.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,New York Knicks
306,Feron Hunt,F,22.77,2,4.2,8.8,15.7,33.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.4,0.5,15.3,0.5,0.0,0.5,0.0,41.6,98.8,2021-2022,New York Knicks
370,Kevin Knox II,F,22.67,13,8.5,17.8,19.5,10.1,10.0,0.7,12.0,0.417,28.0,0.357,0.5,0.529,3.6,1.7,10.6,0.2,4.2,0.15,0.08,0.38,5.0,107.2,110.2,2021-2022,New York Knicks
428,Miles McBride,G,21.59,40,9.3,19.4,13.9,4.2,12.0,0.667,40.0,0.375,68.0,0.25,0.375,0.393,2.2,1.0,5.9,1.0,15.9,0.35,0.03,0.13,5.6,98.4,101.2,2021-2022,New York Knicks
462,Matt Mooney,G,25.17,1,1.9,4.0,46.2,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,2021-2022,New York Knicks
489,Nerlens Noel,C-F,28.0,25,22.5,46.8,7.3,21.5,30.0,0.7,57.0,0.561,3.0,0.0,0.533,0.581,3.4,5.6,13.4,0.9,5.7,1.2,1.24,0.8,4.6,120.2,98.3,2021-2022,New York Knicks
546,Immanuel Quickley,G,22.82,78,23.1,48.1,22.2,10.9,201.0,0.881,328.0,0.448,396.0,0.346,0.487,0.543,11.3,3.2,7.3,3.5,24.5,0.69,0.04,1.27,8.7,113.9,104.3,2021-2022,New York Knicks
548,Julius Randle,F-C,27.37,72,35.3,73.6,28.7,14.7,401.0,0.756,856.0,0.458,390.0,0.308,0.459,0.509,20.1,10.0,15.0,5.1,25.1,0.74,0.54,3.4,11.4,102.7,103.0,2021-2022,New York Knicks
551,Cam Reddish,F-G,22.61,15,14.4,29.9,18.7,14.1,32.0,0.906,34.0,0.559,31.0,0.258,0.477,0.575,6.1,1.4,5.2,0.7,7.1,0.87,0.27,0.87,5.0,109.2,106.1,2021-2022,New York Knicks
564,Mitchell Robinson,C-F,24.03,72,25.7,53.5,11.4,12.4,181.0,0.486,343.0,0.761,0.0,0.0,0.761,0.722,8.5,8.6,17.8,0.5,3.2,0.79,1.85,0.83,5.2,144.1,101.0,2021-2022,New York Knicks
568,Derrick Rose,G,33.52,26,24.5,51.0,22.5,11.9,31.0,0.968,182.0,0.467,92.0,0.402,0.513,0.541,12.0,3.0,6.5,4.0,27.5,0.85,0.46,1.5,8.6,112.4,112.6,2021-2022,New York Knicks
586,Wayne Selden,G,27.53,3,6.4,13.3,13.2,0.0,4.0,0.5,2.0,0.0,2.0,0.5,0.375,0.434,1.7,0.3,2.8,0.3,7.2,0.0,0.0,0.0,3.3,102.9,112.7,2021-2022,New York Knicks
597,Jericho Sims,C,23.47,41,13.5,28.2,6.9,23.1,29.0,0.414,54.0,0.722,0.0,0.0,0.722,0.674,2.2,4.1,16.3,0.5,5.3,0.27,0.54,0.49,4.9,130.7,99.8,2021-2022,New York Knicks
647,Obi Toppin,F,24.1,72,17.1,35.6,20.8,9.6,124.0,0.758,304.0,0.655,169.0,0.308,0.586,0.614,9.0,3.7,11.6,1.1,10.9,0.35,0.46,0.78,7.8,120.7,104.8,2021-2022,New York Knicks
668,Kemba Walker,G,31.93,37,25.6,53.4,20.8,10.7,71.0,0.845,171.0,0.444,199.0,0.367,0.501,0.537,11.6,3.0,6.3,3.5,22.2,0.7,0.19,1.3,7.7,111.8,111.0,2021-2022,New York Knicks
8,Jalen Brunson,G,26.8,11,40.3,28.5,9.1,68.0,0.912,150.0,0.553,80.0,0.325,0.53,0.589,27.8,4.9,5.6,1.4,0.1,2.1,32.7,33.5,38.4,9.1,122.8,111.4,2022-2023,New York Knicks
29,RJ Barrett,F-G,23.0,11,34.3,25.7,13.2,65.0,0.769,103.0,0.495,61.0,0.328,0.494,0.55,19.3,4.5,2.8,0.8,0.2,2.3,23.7,22.1,26.5,7.3,108.6,110.8,2022-2023,New York Knicks
41,Julius Randle,F-C,28.5,10,33.0,27.9,19.2,55.0,0.709,81.0,0.469,66.0,0.258,0.432,0.485,16.6,8.3,3.6,0.5,0.3,3.5,24.9,20.2,28.5,9.6,96.0,108.1,2022-2023,New York Knicks
71,Josh Hart,G,28.3,11,32.1,15.8,18.2,22.0,0.636,62.0,0.565,32.0,0.313,0.532,0.55,10.4,7.4,2.2,0.8,0.3,1.9,17.7,12.5,19.9,6.9,106.4,104.2,2022-2023,New York Knicks
83,Immanuel Quickley,G,24.0,8,21.9,21.4,11.9,20.0,0.85,29.0,0.483,37.0,0.243,0.417,0.481,9.0,1.6,1.0,0.5,0.0,1.1,10.6,10.0,11.6,4.4,97.5,112.8,2022-2023,New York Knicks
101,Obi Toppin,F,25.3,11,15.9,20.5,10.2,5.0,0.8,27.0,0.63,43.0,0.302,0.521,0.533,7.0,3.5,0.6,0.7,0.3,0.7,10.5,7.6,11.2,6.2,107.7,107.7,2022-2023,New York Knicks
110,Mitchell Robinson,C-F,25.2,11,27.1,10.9,17.2,33.0,0.394,48.0,0.604,0.0,0.0,0.604,0.568,6.5,9.3,0.8,0.8,1.5,0.9,15.7,7.3,16.5,5.4,128.8,105.6,2022-2023,New York Knicks
121,Quentin Grimes,G,23.1,9,26.9,11.2,17.7,11.0,0.818,9.0,0.556,37.0,0.243,0.402,0.452,5.1,2.8,1.4,1.0,0.6,1.1,7.9,6.6,9.3,4.0,92.4,110.2,2022-2023,New York Knicks
144,Isaiah Hartenstein,C-F,25.1,11,20.0,7.1,17.6,16.0,0.75,23.0,0.478,0.0,0.0,0.478,0.566,3.1,4.6,1.3,0.8,1.4,0.5,7.7,4.4,9.0,5.3,136.0,101.9,2022-2023,New York Knicks
192,Miles McBride,G,22.8,8,2.6,8.8,0.0,0.0,0.0,1.0,0.0,3.0,0.333,0.375,0.375,0.4,0.3,0.1,0.0,0.1,0.0,0.6,0.5,0.8,3.5,,,2022-2023,New York Knicks
213,Derrick Rose,G,34.7,1,2.5,71.4,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,2022-2023,New York Knicks
217,DaQuan Jeffries,G-F,25.8,2,2.3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2022-2023,New York Knicks
124,Bradley Beal,G,28.06,5,39.1,81.4,34.0,12.6,36.0,0.861,91.0,0.538,32.0,0.219,0.484,0.54,30.0,6.2,8.6,4.2,19.2,0.8,0.6,4.0,9.4,102.1,114.4,2020-2021,Washington Wizards
133,Daniel Gafford,F-C,22.8,5,23.4,48.8,14.1,7.6,24.0,0.625,26.0,0.846,0.0,0.0,0.846,0.807,11.8,5.8,13.5,0.6,3.9,1.0,2.0,0.6,5.9,158.2,101.1,2020-2021,Washington Wizards
136,Rui Hachimura,F,23.45,5,34.6,72.2,13.8,8.7,12.0,0.583,32.0,0.625,15.0,0.6,0.713,0.708,14.8,7.2,11.3,1.0,4.3,0.4,0.2,1.0,5.5,129.8,106.1,2020-2021,Washington Wizards
143,Alex Len,C,28.1,5,8.4,17.6,17.9,5.5,7.0,0.571,14.0,0.571,0.0,0.0,0.571,0.585,4.0,2.2,14.2,0.4,7.2,0.2,0.0,0.2,7.2,124.2,96.8,2020-2021,Washington Wizards
144,Robin Lopez,C,33.3,5,14.6,30.5,15.9,3.6,4.0,0.25,25.0,0.72,0.0,0.0,0.72,0.691,7.4,1.8,6.7,0.0,0.0,0.0,0.8,0.2,0.0,131.8,110.3,2020-2021,Washington Wizards
148,Raul Neto,G,29.17,5,22.5,46.8,13.8,2.7,5.0,0.8,19.0,0.421,15.0,0.267,0.412,0.442,6.4,2.2,5.3,1.0,6.0,0.4,0.0,0.2,4.3,100.0,109.1,2020-2021,Washington Wizards
158,Ish Smith,G,33.04,5,22.3,46.4,18.0,10.4,0.0,0.0,36.0,0.389,7.0,0.286,0.395,0.395,6.8,3.2,7.8,2.8,17.9,1.4,0.4,1.0,7.1,86.5,104.7,2020-2021,Washington Wizards
163,Russell Westbrook,G,32.69,5,37.2,77.6,27.8,16.9,43.0,0.791,64.0,0.359,20.0,0.25,0.363,0.462,19.0,10.4,15.2,11.8,45.6,0.4,0.2,4.2,14.3,104.4,106.8,2020-2021,Washington Wizards
171,Davis Bertans,F,28.69,4,26.5,55.2,12.3,3.2,7.0,1.0,4.0,0.75,23.0,0.348,0.556,0.615,9.3,2.8,5.7,0.3,1.3,0.25,0.5,0.25,3.0,122.9,107.1,2020-2021,Washington Wizards
172,Isaac Bonga,G,21.7,4,2.4,4.9,22.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,2020-2021,Washington Wizards
177,Anthony Gill,F,28.76,4,8.2,17.1,7.6,50.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.6,0.0,0.0,0.0,0.0,0.75,0.0,13.6,97.7,2020-2021,Washington Wizards
199,Garrison Mathews,G,24.74,3,5.7,11.9,15.2,0.0,5.0,0.8,0.0,0.0,4.0,0.0,0.0,0.323,1.3,0.7,6.4,0.0,0.0,0.0,0.0,0.0,0.0,76.0,94.9,2020-2021,Washington Wizards
218,Chandler Hutchison,F-G,25.23,2,9.1,19.0,15.8,14.5,2.0,1.0,5.0,0.4,0.0,0.0,0.4,0.51,3.0,1.5,9.0,0.5,7.5,0.0,0.0,0.5,5.8,96.6,112.2,2020-2021,Washington Wizards
238,Cassius Winston,G,23.39,1,5.5,11.5,38.0,40.0,0.0,0.0,2.0,0.5,1.0,0.0,0.333,0.333,2.0,2.0,19.8,1.0,27.4,0.0,0.0,2.0,11.5,61.3,98.6,2020-2021,Washington Wizards
23,Deni Avdija,F,21.27,82,24.2,50.4,16.3,12.0,136.0,0.757,320.0,0.525,259.0,0.317,0.503,0.536,8.4,5.2,11.8,2.0,11.8,0.72,0.54,1.06,7.3,106.4,105.9,2021-2022,Washington Wizards
24,Joel Ayayi,G,22.1,7,2.9,6.0,13.2,0.0,0.0,0.0,5.0,0.2,1.0,0.0,0.167,0.167,0.3,0.4,8.2,0.6,25.1,0.0,0.0,0.0,5.7,,,2021-2022,Washington Wizards
45,Bradley Beal,G,28.79,40,36.0,74.9,30.8,13.6,203.0,0.833,561.0,0.508,210.0,0.3,0.492,0.539,23.2,4.7,7.3,6.6,30.8,0.9,0.38,3.38,10.0,105.7,111.9,2021-2022,Washington Wizards
50,Davis Bertans,F,29.41,34,14.7,30.7,17.6,7.1,30.0,0.933,27.0,0.519,144.0,0.319,0.485,0.527,5.7,1.8,6.7,0.5,4.4,0.32,0.18,0.41,4.7,103.4,107.0,2021-2022,Washington Wizards
91,Thomas Bryant,C-F,24.7,27,16.3,33.9,18.7,10.3,40.0,0.875,106.0,0.613,42.0,0.286,0.561,0.607,7.4,4.0,13.6,0.9,7.9,0.22,0.78,0.7,7.3,118.7,106.6,2021-2022,Washington Wizards
99,Kentavious Caldwell-Pope,G,29.14,77,30.2,63.0,19.0,9.8,154.0,0.89,422.0,0.479,408.0,0.39,0.531,0.567,13.2,3.4,6.2,1.9,9.1,1.08,0.34,1.26,5.8,108.9,112.3,2021-2022,Washington Wizards
105,Vernon Carey Jr.,F-C,21.12,3,9.1,19.0,21.8,14.9,10.0,0.4,7.0,0.571,0.0,0.0,0.571,0.526,4.0,2.3,14.2,0.0,0.0,0.33,0.33,0.67,0.0,106.8,107.1,2021-2022,Washington Wizards
156,Spencer Dinwiddie,G,29.01,44,30.2,63.0,21.0,11.6,143.0,0.811,266.0,0.432,226.0,0.31,0.447,0.501,12.6,4.7,8.6,5.8,27.5,0.61,0.16,1.66,9.3,108.8,109.9,2021-2022,Washington Wizards
178,Jaime Echenique,C,24.96,1,3.1,6.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,Washington Wizards
213,Daniel Gafford,F-C,23.53,72,20.1,41.8,16.7,12.0,153.0,0.699,409.0,0.697,1.0,0.0,0.695,0.709,9.4,5.7,15.6,0.9,7.3,0.42,1.38,0.9,7.2,136.2,104.2,2021-2022,Washington Wizards
226,Anthony Gill,F,29.48,44,10.5,21.9,14.4,12.0,52.0,0.808,83.0,0.578,26.0,0.538,0.633,0.682,4.1,1.9,10.1,0.6,8.3,0.11,0.25,0.41,6.4,133.3,105.9,2021-2022,Washington Wizards
230,Jordan Goodwin,G,23.47,2,3.0,6.1,22.6,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,9.4,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,Washington Wizards
246,Rui Hachimura,F,24.17,42,22.5,46.8,20.9,7.4,66.0,0.697,258.0,0.512,123.0,0.447,0.563,0.579,11.3,3.8,9.4,1.1,7.9,0.55,0.21,0.79,6.4,111.4,112.0,2021-2022,Washington Wizards
