RANK,FULL NAME,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,Franchise
21,Damian Lillard,G,28.92,16,40.6,84.6,29.4,13.6,114.0,0.833,172.0,0.459,158.0,0.373,0.508,0.566,26.9,4.8,6.2,6.6,27.9,1.69,0.31,3.75,9.3,111.7,107.9,2018-2019,Portland Trail Blazers
22,CJ McCollum,G,27.74,16,39.7,82.7,27.6,7.4,56.0,0.732,233.0,0.464,117.0,0.393,0.506,0.527,24.7,5.0,6.7,3.7,16.8,0.81,0.63,1.88,7.8,108.3,110.0,2018-2019,Portland Trail Blazers
23,Evan Turner,G-F,30.63,16,15.3,31.9,11.6,19.8,15.0,0.8,45.0,0.311,1.0,1.0,0.337,0.409,2.7,4.6,15.8,2.2,19.4,0.19,0.19,0.81,7.9,99.5,102.6,2018-2019,Portland Trail Blazers
61,Meyers Leonard,F-C,27.29,11,15.5,32.2,18.6,5.5,9.0,0.333,32.0,0.625,33.0,0.424,0.631,0.616,7.7,3.6,12.5,1.1,11.8,0.18,0.09,0.36,8.1,125.2,96.4,2018-2019,Portland Trail Blazers
108,Jake Layman,F,25.27,6,3.4,7.0,18.8,0.0,4.0,0.75,2.0,0.5,5.0,0.0,0.143,0.285,0.8,0.7,10.5,0.0,0.0,0.0,0.0,0.0,0.0,,,2018-2019,Portland Trail Blazers
148,Anfernee Simons,G,20.02,5,2.4,5.0,33.3,0.0,5.0,0.8,5.0,0.0,2.0,0.0,0.0,0.217,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,,2018-2019,Portland Trail Blazers
195,Skal Labissiere,F,23.24,3,3.5,7.3,18.3,0.0,1.0,0.0,2.0,0.5,2.0,0.0,0.25,0.225,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2018-2019,Portland Trail Blazers
1,Jaylen Adams,G,24.44,3,6.9,14.4,18.1,0.0,0.0,0.0,5.0,0.6,4.0,0.0,0.333,0.333,2.0,1.0,7.6,0.7,15.1,0.33,0.0,0.0,6.5,88.9,114.2,2019-2020,Portland Trail Blazers
7,Carmelo Anthony,F,36.37,5,35.1,73.2,20.7,14.9,14.0,0.857,49.0,0.408,19.0,0.421,0.471,0.512,15.2,5.0,7.5,2.0,9.1,1.0,0.4,2.6,6.1,94.7,106.8,2019-2020,Portland Trail Blazers
64,Wenyen Gabriel,F,23.55,4,13.3,27.8,16.3,23.9,2.0,0.5,10.0,0.7,5.0,0.4,0.667,0.661,5.3,2.5,9.9,1.0,12.2,0.5,0.5,1.25,7.1,116.3,88.0,2019-2020,Portland Trail Blazers
85,Mario Hezonja,F-G,25.63,5,13.6,28.3,16.4,11.2,4.0,0.75,15.0,0.467,7.0,0.286,0.455,0.484,4.6,3.0,11.6,1.2,13.6,0.6,0.0,0.6,7.5,102.0,103.8,2019-2020,Portland Trail Blazers
88,Jaylen Hoard,F,21.54,3,13.8,28.8,14.1,14.3,0.0,0.0,12.0,0.583,0.0,0.0,0.583,0.583,4.7,3.0,11.4,0.3,3.9,0.0,0.0,0.67,4.7,115.4,109.0,2019-2020,Portland Trail Blazers
122,Damian Lillard,G,30.24,4,35.7,74.3,27.0,15.1,33.0,0.97,31.0,0.419,33.0,0.394,0.508,0.618,24.3,3.5,5.2,4.3,19.8,0.5,0.25,3.5,8.0,116.3,118.6,2019-2020,Portland Trail Blazers
132,CJ McCollum,G,29.06,5,39.2,81.8,26.3,12.1,22.0,0.682,64.0,0.484,35.0,0.371,0.51,0.534,23.2,5.8,7.8,3.2,14.6,1.2,0.4,3.0,7.7,102.4,114.1,2019-2020,Portland Trail Blazers
157,Jusuf Nurkic,C,26.14,5,32.3,67.2,20.7,16.2,23.0,0.783,46.0,0.478,11.0,0.273,0.465,0.529,14.2,10.6,17.3,3.6,17.8,1.4,0.2,2.6,10.1,108.0,100.9,2019-2020,Portland Trail Blazers
184,Anfernee Simons,G,21.35,4,20.5,42.7,16.6,12.3,6.0,0.833,12.0,0.167,14.0,0.429,0.423,0.471,6.8,2.8,7.1,2.5,17.8,1.5,0.0,1.0,7.1,101.7,107.9,2019-2020,Portland Trail Blazers
194,Gary Trent Jr.,G-F,21.73,5,30.6,63.7,14.5,9.4,7.0,0.857,21.0,0.286,24.0,0.417,0.467,0.499,9.6,2.0,3.4,0.6,2.9,0.8,0.0,1.0,3.0,100.9,111.2,2019-2020,Portland Trail Blazers
209,Hassan Whiteside,C,31.33,5,21.2,44.2,14.2,16.6,14.0,0.5,23.0,0.522,1.0,1.0,0.563,0.564,6.8,7.0,17.4,0.4,2.9,0.2,2.0,1.2,5.0,104.6,98.6,2019-2020,Portland Trail Blazers
100,Carmelo Anthony,F,37.14,6,23.9,49.8,22.6,9.7,11.0,0.909,23.0,0.478,37.0,0.378,0.533,0.571,12.3,3.2,7.7,1.5,9.4,0.33,0.17,1.17,6.5,112.1,110.0,2020-2021,Portland Trail Blazers
